,中文,English
194,哪里,where
195,有人,Someone
196,该,Should
197,意思,mean
198,杀,kill
199,准备,Prepare
200,并,and
201,出来,come out
202,与,and
203,时,hour
204,不过,but
205,一些,Some
206,为了,for
207,带,bring
208,女人,woman
209,这儿,here
210,后,back
211,只有,only
212,过来,come over
213,比,Compare
214,一次,once
215,得到,get
216,很多,a lot of
217,任何,any
218,这种,This
219,小,Small
220,怎么样,How about it
221,對,right
222,感觉,Feel
223,年,year
224,是不是,is it?
225,以为,Think
226,而且,and
227,前,forward
228,生活,Life
229,男人,man
230,之前,in front of
231,喂,Hello
232,问,ask
233,发现,Discover
234,噢,oh
235,可是,But
236,快点,hurry up
237,嗨,Hi
238,妈,mom
239,两个,two
240,不用,Need not
241,地,land
242,向,Towards
243,名字,name
244,没错,That's right
245,见,See
246,世界,world
247,沒,not
248,记得,Remember
249,住,live
250,新,new
251,不错,good
252,肯定,affim
253,最好,most
254,不行,no
255,等等,etc.
256,嘛,Well
257,出去,go out
258,么,What
259,先,First
260,為,for
261,亲爱,dear
262,或,or
263,他們,them
264,担心,Worry
265,如何,how
266,到底,in the end
267,有点,a bit
268,最后,at last
269,小姐,Miss
270,上帝,God
271,认识,know
272,會,Can
273,正在,Currently
274,那样,That
275,父亲,Father
276,高兴,Happy
277,明天,tomorrow
278,重要,important
279,跑,run
280,警察,police
281,只要,if only
282,干什么,What to do
283,好像,like
284,再见,goodbye
285,月,moon
286,我能,I can
287,继续,continue
288,出,out
289,今晚,tonight
290,他妈的,damn it
291,回家,go home
292,它们,they
293,多少,How many
294,电话,Telephone
295,听到,Hear
296,干嘛,what are you doing?
297,干,Dry
298,医生,hospital
299,要是,if
300,女孩,girl
301,這,This
302,所,Place
303,讓,let
304,马上,immediately
305,过去,past
306,以前,before
307,儿子,son
308,哪儿,where
309,说话,say
310,买,purchase
311,看起来,Looks
312,一個,One
313,完全,completely
314,该死,Damn
315,美国,USA
316,怎样,how
317,回去,go back
318,以,by
319,却,but
320,其他,other
321,永远,forever
322,家伙,Guy
323,之后,after
324,怎麼,How
325,看见,see
326,或者,or
327,小心,careful
328,行,OK
329,别人,other people
330,成为,become
331,写,Write
332,不到,Less than
333,情况,Condition
334,送,deliver
335,伙计,Man
336,一天,one day
337,玩,Play
338,见到,See
339,放,put
340,晚上,night
341,喝,drink
342,总是,always
343,好好,well
344,琌,可
345,号,Number
346,如此,in this way
347,家,Home
348,坐,sit
349,了解,learn
350,有没有,Is there any
351,兄弟,brother
352,没什么,nothing
353,我来,I'll come
354,结束,Finish
355,机会,Chance
356,已,already
357,安全,Safety
358,拜托,Please
359,决定,Decide
360,穿,wear
361,确定,Sure
362,里面,in
363,呃,Well
364,怎么办,what to do
365,还好,fine
366,无法,Unable to
367,小时,Hour
368,站,stand
369,清楚,clear
370,有些,some
371,错,wrong
372,這個,this
373,帮助,help
374,长官,Chief
375,公司,company
376,打电话,Call up
377,房子,house
378,根本,fundamental
379,懂,Understand
380,办法,way
381,不管,in spite of
382,混蛋,asshole
383,关于,about
384,搞,Engage
385,计划,plan
386,唯一,only
387,来说,to say
388,女儿,daughter
389,看着,Watching
390,宝贝,baby
391,每个,Each
392,怎么回事,What's going on?
393,個,Piece
394,其实,actually
395,漂亮,pretty
396,黑体,Bold
397,這樣,Like this
398,车,car
399,人们,people
400,真正,real
401,甚至,even
402,那边,there
403,弄,alley
404,开,open
405,不好,not good
406,喔,oh
407,回,return
408,进来,Come in
409,裏,inside
410,夫人,lady
411,之,Of
412,愿意,willing
413,麻烦,trouble
414,睡,sleep
415,哇,Wow
416,就要,Just
417,打算,Intend
418,完,over
419,故事,story
420,一种,A sort of
421,害怕,Fear
422,救,save
423,手,hand
424,房间,Room
425,由,Depend on
426,後,back
427,那儿,there
428,衣服,clothing
429,枪,gun
430,母亲,Mother
431,另,Other
432,下来,Come down
433,听说,Heard
434,不了,No
435,注意,Notice
436,改变,Change
437,这次,this time
438,這是,This is
439,没关系,It doesn't matter
440,接受,accept
441,妻子,wife
442,老,old
443,失去,lose
444,回到,Back to
445,們,可
446,以后,after
447,话,talk
448,是否,whether
449,疯,crazy
450,生命,life
451,她们,they
452,忙,busy
453,进去,Go inside
454,抓,Grasp
455,女士,Miss
456,原因,reason
457,刚才,Just now
458,保护,Protect
459,是因为,Because
460,选择,choose
461,妳,you
462,几个,several
463,笑,laugh
464,关系,relation
465,从来,Never
466,他会,He will
467,当时,then
468,出现,Appear
469,结婚,marry
470,些,some
471,至少,At least
472,还要,Also
473,挺,quite
474,成功,success
475,奇怪,strangeness
476,虽然,Although
477,忘,forget
478,太好了,Very good
479,身上,On
480,或许,perhaps
481,讲,speak
482,你們,you
483,岁,age
484,有个,There is
485,保证,ensure
486,外面,Outside
487,丈夫,husband
488,连,even
489,国家,nation
490,整个,entire
491,特别,special
492,那种,That
493,不同,different
494,著,write
495,很快,soon
496,变成,become
497,够,enough
498,难道,Could it be
499,学校,School
500,一件,One piece
501,样子,Appearance
502,倒,fall
503,电影,Movie
504,谈谈,Talk
505,危险,Danger
506,开心,happy
507,别的,Other
508,这件,This
509,才能,Talent
510,闭嘴,Shut up
511,正,just
512,进行,conduct
513,照片,photo
514,話,talk
515,刚刚,just
516,而已,That's it
517,完成,Finish
518,誰,who
519,方式,Way
520,做到,Do it
521,爸,dad
522,因為,Because
523,声音,sound
524,第一次,first
525,看来,It seems
526,只能,Only
527,現在,now
528,太太,Mrs
529,下去,Go down
530,绝对,absolute
531,处理,deal with
532,欢迎,welcome
533,眼睛,Eye
534,通过,pass
535,行动,action
536,啥,What
537,感到,feel
538,最近,recent
539,聽,hear
540,各位,Everyone
541,这边,This side
542,待,treat
543,掉,Lose
544,不好意思,Excuse me
545,猜,Guess
546,使,make
547,作为,As
548,于,At
549,狗,dog
550,容易,easy
551,沒有,no
552,直到,until
553,求,beg
554,比赛,Contest
555,像是,Like
556,麽,What
557,從,from
558,拉,pull
559,拍,shoot
560,更好,better
561,曾,ever
562,有趣,interesting
563,就算,Even if
564,活着,Alive
565,不會,will not
566,努力,effort
567,帮忙,help
568,留下,Leave
569,同意,agree
570,参加,join
571,赢,win
572,死亡,die
573,每,Every
574,上面,above
575,结果,result
576,消息,information
577,要求,Require
578,理解,understand
579,曾经,once
580,打开,Open
581,收到,receive
582,照顾,take care of
583,人类,Human
584,主意,idea
585,保持,Keep
586,成,become
587,杰克,Jack
588,存在,exist
589,进,Enter
590,高,high
591,晚安,Good night
592,确实,really
593,全部,all
594,靠,Depend on
595,呆,stay
596,起,rise
597,謝謝,Thank you
598,讨厌,Hate
599,俩,both
600,硂,南
601,突然,Sudden
602,多久,how long
603,老婆,Wife
604,不再,no longer
605,任何人,Anyone
606,开玩笑,joke
607,放在,Place
608,那個,That
609,进入,Enter
610,父母,parents
611,总统,president
612,伤害,harm
613,時候,Time
614,回答,answer
615,一位,One
616,三个,Three
617,所有人,All
618,老师,teacher
619,早,morning
620,除了,Apart from
621,派,group
622,咱们,we
623,自由,free
624,可爱,cute
625,日,day
626,抓住,catch
627,路,road
628,谈,talk
629,简单,Simple
630,身体,Body
631,想法,idea
632,早上,Morning
633,這麼,So
634,能够,can
635,昨晚,last night
636,哥哥,elder brother
637,我爱你,I love you
638,跳,Jump
639,秘密,secret
640,休息,rest
641,战争,war
642,其中,in
643,内,Inside
644,医院,Hospital
645,每天,every day
646,之间,between
647,大概,perhaps
648,控制,control
649,刚,Just
650,小孩,Child
651,带来,bring
652,停止,stop
653,因此,therefore
654,花,flower
655,证明,prove
656,约翰,John
657,飞机,airplane
658,替,for
659,解释,explain
660,律师,lawyer
661,终于,finally
662,耶,yeah
663,翻译,translate
664,调查,investigation
665,告訴,Tell
666,为何,Why
667,留在,Stay
668,糟糕,Oops
669,任务,Task
670,武器,arms
671,家里,Home
672,头,head
673,来自,From
674,后面,later
675,小子,Kid
676,来到,come
677,解决,solve
678,其他人,Others
679,家人,family
680,坐下,sit down
681,怕,Afraid
682,直接,direct
683,办公室,office
684,停,stop
685,放弃,give up
686,鬼,ghost
687,別,Don't
688,加油,come on
689,方法,method
690,游戏,game
691,即使,even though
692,本,Book
693,年轻,young
694,大人,grown ups
695,使用,use
696,卖,Sell
697,老板,boss
698,水,water
699,想想,Think about it
700,坐在,Sitting
701,目标,Target
702,变得,Become
703,可怕,horrible
704,拿到,Get
705,考虑,consider
706,个人,personal
707,开枪,shot
708,哭,cry
709,睡觉,sleep
710,請,please
711,分钟,minute
712,想到,think
713,等待,wait
714,音乐,music
715,再说,Besides
716,聪明,clever
717,姑娘,girl
718,地球,Earth
719,感谢,grateful
720,命令,Order
721,阻止,Prevent
722,一只,One
723,消失,disappear
724,喜歡,like
725,心,Heart
726,第,No.
727,冷静,calm
728,似乎,seem
729,联系,connect
730,家庭,family
731,痛苦,pain
732,城市,City
733,力量,strength
734,对于,for
735,未来,future
736,男孩,boy
737,三,three
738,博士,PhD
739,姐姐,elder sister
740,疯狂,crazy
741,报告,Report
742,放下,lay down
743,昨天,yesterday
744,那天,That day
745,還有,and
746,完美,Perfect
747,答应,promise
748,证据,evidence
749,本来,originally
750,负责,Responsible
751,检查,examine
752,見,see
753,已經,already
754,一条,One
755,厉害,sharp
756,拥有,have
757,正常,normal
758,并且,and
759,否则,otherwise
760,該,The
761,以及,as well as
762,重新,again
763,忘记,forget
764,这位,this
765,研究,Research
766,附近,nearby
767,不然,otherwise
768,太棒了,marvelous
769,很棒,great
770,方正,Founder
771,字幕,subtitle
772,脸,Face
773,者,Those
774,加入,join in
775,於,On
776,唱,Sing
777,反正,Anyway
778,不该,Should not
779,政府,government
780,快乐,hapiness
781,身边,Around
782,遇到,meet
783,這裡,Here
784,伟大,great
785,咖啡,coffee
786,接,catch
787,仍然,still
788,门,Door
789,开车,drive
790,代表,represent
791,陪,accompany
792,若,like
793,尸体,Corpse
794,比较,Compare
795,一年,One year
796,紧张,nervous
797,监狱,prison
798,位置,Location
799,随便,casual
800,偷,steal
801,安排,arrange
802,錢,money
803,表演,Performance
804,从没,Never
805,除非,unless
806,屁股,butt
807,這些,These
808,酒,liquor
809,恩,kindness
810,老兄,Dude
811,支持,support
812,必要,necessary
813,人生,Life
814,正确,correct
815,跟着,Follow
816,杀死,Kill
817,交给,Hand over
818,叔叔,uncle
819,還是,Still
820,食物,food
821,事实,fact
822,简直,simply
823,安静,Quiet
824,离,Leave
825,一场,One
826,妹妹,younger sister
827,斯,S
828,美丽,beauty
829,再次,again
830,案子,case
831,下面,under
832,不够,not enough
833,哈,ha
834,可怜,Pitiful
835,教,teach
836,殺,Kill
837,首先,first
838,另外,in addition
839,提供,supply
840,记住,remember
841,听见,hear
842,信,letter
843,国王,king
844,面前,before
845,几乎,almost
846,日子,day
847,那麼,Then
848,舒服,Comfortable
849,原来,turn out to be
850,再也,Never again
851,操,Hold
852,纽约,New York
853,早就,Already
854,逼,force
855,有关,related
856,放开,open
857,信息,information
858,星期,Week
859,不得不,have to
860,发誓,swear
861,钥匙,key
862,错误,mistake
863,放松,Relax
864,约会,Dating
865,船,Boat
866,打扰,disturb
867,女,female
868,手机,cell phone
869,二,two
870,很大,Very large
871,到处,everywhere
872,攻击,attack
873,一份,One
874,第一,First
875,建议,suggestion
876,日本,Japan
877,理由,reason
878,事实上,In fact
879,一樣,Same
880,阿,Ah
881,跳舞,Dance
882,生气,angry
883,久,Long
884,试试,Try it
885,信任,trust
886,此,this
887,看过,Viewed
888,差不多,almost
889,原谅,forgive
890,神,god
891,经常,often
892,的确,indeed
893,之一,one
894,幸福,happiness
895,哎,Why
896,便,Convenience
897,马,horse
898,算,Calculate
899,吃饭,Have a meal
900,璶,Jing
901,正是,Exactly
902,不必,No need
903,最大,maximum
904,幸运,Lucky
905,丢,leave
906,我家,My Home
907,問題,problem
908,长,long
909,東西,Things
910,而是,Rather
911,住手,stop
912,动物,animal
913,弟弟,younger brother
914,道歉,Apologize
915,严重,serious
916,人家,Others
917,坚持,persist in
918,想象,Imagine
919,按,according to
920,礼物,Gift
921,每次,every time
922,将军,General
923,剩下,remain
924,有事,Something
925,老爸,Dad
926,幫,Help
927,系统,system
928,全都,all
929,组织,organize
930,我會,I will
931,敌人,enemy
932,看上去,Looks
933,應該,should
934,老天,God
935,认真,serious
936,分,point
937,书,Book
938,往,Past
939,关心,care
940,坏,bad
941,骗,cheat
942,中国,China
943,生意,Business
944,上去,Go up
945,值得,worth
946,搞定,Done
947,寻找,Search
948,派对,Parties
949,许多,many
950,学生,student
951,查理,Charlie
952,下次,next time
953,通知,notify
954,救命,Help
955,表现,Performance
956,利用,use
957,受伤,Injuried
958,后来,later
959,早上好,Good morning
960,精神,Spirit
961,居然,Surprisingly
962,受到,Received
963,大学,University
964,那时,At that time
965,既然,now that
966,几天,A few days
967,有时,sometimes
968,米,rice
969,总,total
970,一张,One
971,第一个,The first one
972,真相,the truth
973,恨,hatred
974,卡,Card
975,不知,Unknown
976,远,Far
977,警官,police officer
978,属于,belong
979,什,Varied
980,可不是,No
981,怪,Strange
982,一名,One
983,怀疑,Suspect
984,笨蛋,Fool
985,战斗,fighting
986,承认,admit
987,馬,Horse
988,法律,law
989,别说,Don't say
990,简体,Simplified
991,记录,Record
992,见面,Meet
993,能力,ability
994,足够,enough
995,帶,belt
996,瞧,Look
997,同样,same
998,白痴,idiot
999,拒绝,reject
1000,影响,Influence
1001,画,painting
1002,其,That
1003,德,Germany
1004,交易,trade
1005,回來,Come back
1006,别动,Don't move
1007,管,Tube
1008,开门,Open the door
1009,意味着,mean
1010,或是,or
1011,美,beautiful
1012,教授,professor
1013,享受,enjoy
1014,時間,time
1015,喝酒,drink wine
1016,好多,many
1017,接下来,Next Steps
1018,開始,Start
1019,腿,leg
1020,走开,Walk Away
1021,合作,cooperate
1022,女朋友,girlfriend
1023,好吃,tasty
1024,事件,event
1025,出发,Set off
1026,酒吧,bar
1027,多么,how
1028,不如,Not as good as
1029,指,refer to
1030,客人,guest
1031,换,Change
1032,梦想,dream
1033,英雄,hero
1034,傻,stupid
1035,血,Blood
1036,扔,Throw
1037,藏,Tibetan
1038,杀人,kill
1039,一会儿,A while
1040,沒事,It's OK
1041,变,Change
1042,约,about
1043,行为,Behavior
1044,头发,hair
1045,适合,Suitable
1046,穦,未分
1047,上次,Last time
1048,地狱,hell
1049,不在乎,not give a damn about
1050,生,born
1051,哪个,Which
1052,实在,really
1053,路上,On the road
1054,接近,near
1055,不准,No
1056,银行,bank
1057,碰,bump
1058,介绍,introduce
1059,一旦,once
1060,味道,smell
1061,实际上,Actually
1062,感受,Feeling
1063,身份,identity
1064,意外,Accident
1065,一般,generally
1066,吓,scare
1067,停下,Stop
1068,意义,significance
1069,拜,bye
1070,来看,Come and see
1071,婊子,Bitch
1072,梦,Dream
1073,学习,study
1074,同时,at the same time
1075,不起,No
1076,呼吸,breathe
1077,是从,is from
1078,经历,experience
1079,凶手,murderer
1080,目前,at present
1081,威胁,threaten
1082,没法,No way
1083,有时候,sometimes
1084,英国,U.K.
1085,男,male
1086,什么样,What kind
1087,老大,Boss
1088,受,by
1089,愚蠢,madness
1090,算了,never mind
1091,真实,reality
1092,婚礼,wedding
1093,在家,at home
1094,允许,allow
1095,军队,army
1096,电视,television
1097,一家,A
1098,灵魂,soul
1099,谢,Thanks
1100,如,like
1101,道,road
1102,究竟,after all
1103,戴,Wear
1104,无论,regardless
1105,谋杀,murder
1106,立刻,immediately
1107,特,special
1108,躺,lie
1109,试图,attempt
1110,客气,polite
1111,文件,document
1112,敢,dare
1113,慢慢,Slowly
1114,前面,Front
1115,奶奶,grandmother
1116,黑,black
1117,答案,Answer
1118,棒,Great
1119,新闻,news
1120,多谢,Many thanks
1121,可不,Yes
1122,長,long
1123,欠,owe
1124,一遍,Once
1125,达,DA
1126,权利,right
1127,做出,Make
1128,历史,history
1129,挂,hang
1130,好了吗,Are you ready?
1131,意识,consciousness
1132,追,Chase
1133,下午,afternoon
1134,尝试,try
1135,乔治,George
1136,经过,go through
1137,获得,get
1138,仍,still
1139,饿,Hungry
1140,部分,part
1141,活,live
1142,當然,Of course
1143,队,Team
1144,带走,take away
1145,竟然,it turns out
1146,失败,fail
1147,一生,lifetime
1148,黑暗,dark
1149,中心,center
1150,麦克,Mike
1151,警告,warn
1152,大哥,Big Brother
1153,显然,Apparently
1154,碞,cliff
1155,根据,according to
1156,动,move
1157,不過,However
1158,自杀,suicide
1159,这事,This matter
1160,训练,train
1161,万,Ten thousand
1162,令人,Stunning
1163,难,Disaster
1164,街,street
1165,越,cross
1166,搬,move
1167,好人,Good Guy
1168,少,few
1169,迟到,be late
1170,恐怕,I am afraid
1171,一杯,a cup
1172,病,sick
1173,没用,Useless
1174,讨论,discuss
1175,爆炸,explode
1176,因,because
1177,美好,good
1178,放心,rest assured
1179,长大,grow up
1180,微软,Microsoft
1181,令,make
1182,没人,No one
1183,辛苦,Hard
1184,尽管,although
1185,美元,Dollar
1186,吻,kiss
1187,收拾,tidy
1188,包括,include
1189,弗兰克,Frank
1190,面对,face
1191,跟我来,Follow me
1192,公寓,apartment
1193,雅黑,Yahei
1194,邀请,invite
1195,求求,Please
1196,生日,Birthday
1197,留,Keep
1198,法官,Judge
1199,方向,direction
1200,一块,piece
1201,法国,France
1202,一半,half
1203,借,borrow
1204,确认,confirm
1205,玩笑,joke
1206,躲,hide
1207,金,gold
1208,病人,patient
1209,目的,Purpose
1210,公主,Princess
1211,一会,A while
1212,我刚,I just
1213,最终,final
1214,士兵,Soldier
1215,怎,How
1216,其它,other
1217,反对,be opposed to
1218,傻瓜,fool
1219,晚,Night
1220,拿走,Take Away
1221,那家伙,That guy
1222,对方,other side
1223,警方,police
1224,假,Fake
1225,次,Second-rate
1226,不介意,Don't mind
1227,赶快,hurry up
1228,失望,disappointment
1229,无,none
1230,出生,born
1231,酒店,hotel
1232,德国,Germany
1233,上班,work
1234,覺得,I think
1235,要说,To say
1236,造成,cause
1237,破坏,destroy
1238,到达,arrive
1239,间,between
1240,巴黎,Paris
1241,药,medicine
1242,不见,not see
1243,冷,cold
1244,男朋友,Boy friend
1245,想起,think
1246,老公,husband
1247,教堂,church
1248,起來,Get up
1249,做好,Do it well
1250,盾,shield
1251,就行了,That's it
1252,拯救,save
1253,祝,wish
1254,字,Character
1255,媽媽,mother
1256,一句,One sentence
1257,幹,Do
1258,子弹,bullet
1259,节目,programme
1260,飞,fly
1261,玛丽,Mary
1262,方面,aspect
1263,不敢相信,I can't believe it
1264,安娜,Anna
1265,晚餐,dinner
1266,不让,Do not let
1267,越来越,More and more
1268,巨大,huge
1269,很漂亮,very beautiful
1270,伦敦,London
1271,啤酒,beer
1272,好看,nice
1273,感情,emotion
1274,自然,nature
1275,汤姆,Tom
1276,一把,A handful
1277,一步,step
1278,逮捕,arrest
1279,超过,Exceed
1280,時,Hour
1281,赶紧,Hurry
1282,炸弹,bomb
1283,全,Complete
1284,将会,will
1285,主人,Owner
1286,可惜,pity
1287,算是,Kind of
1288,上校,Colonel
1289,家族,family
1290,猫,cat
1291,哥们,Buddy
1292,恶心,nausea
1293,陛下,His Majesty
1294,从未,Never
1295,球,ball
1296,彼得,Peter
1297,通常,generally
1298,名,name
1299,只会,Only
1300,撒谎,lie
1301,兴趣,interest
1302,旅行,travel
1303,吹,blow
1304,雷,thunder
1305,没想到,Unexpectedly
1306,比如,for example
1307,人民,people
1308,穿着,Wear
1309,干净,clean
1310,不少,Many
1311,回事,What happened
1312,提,carry
1313,滚,roll
1314,克,gram
1315,用来,Used for
1316,队长,team leader
1317,公平,fair
1318,愉快,joy
1319,不幸,Unlucky
1320,选,select
1321,好不好,OK
1322,电脑,computer
1323,火车,train
1324,有意思,interesting
1325,乔,Joe
1326,抱,hug
1327,干得,Well done
1328,说得对,You are right.
1329,爱情,love
1330,还给,Return
1331,加,add
1332,校对,Proofreading
1333,一边,One side
1334,宇宙,universe
1335,请问,Excuse me
1336,一點,A little
1337,死去,Died
1338,心情,Feeling
1339,撞,Collide
1340,明显,obvious
1341,不敢,Don't dare
1342,找个,Find one
1343,现场,on site
1344,一部分,Part
1345,失踪,Missing
1346,未,not yet
1347,毁,destroy
1348,垃圾,Rubbish
1349,十分,very
1350,愛,love
1351,相当,quite
1352,這兒,Here
1353,鱼,fish
1354,接着,then
1355,不可,No
1356,同,same
1357,健康,healthy
1358,提醒,remind
1359,包,Bag
1360,测试,test
1361,随时,at any time
1362,事儿,thing
1363,遗憾,Pity
1364,犯罪,crime
1365,治疗,treat
1366,狗屎,Shit
1367,這種,This
1368,命,life
1369,太阳,sun
1370,你别,You don't
1371,习惯,Habit
1372,大卫,David
1373,怪物,monster
1374,靠近,near
1375,反应,reaction
1376,某个,A
1377,意见,Opinion
1378,蛋糕,cake
1379,时刻,time
1380,于是,then
1381,床上,On the bed
1382,责任,responsibility
1383,充满,full
1384,热,hot
1385,多年,for many years
1386,楷体,Kaiti
1387,亨利,Henry
1388,心里,Heart
1389,说谎,lie
1390,自,since
1391,见鬼,Hell
1392,份,share
1393,干吗,What?
1394,脚,foot
1395,祈祷,pray
1396,疯子,madman
1397,差点,Handicap
1398,我该,I should
1399,好极了,Excellent
1400,说真的,Seriously
1401,活动,Activity
1402,块,piece
1403,对付,Deal with
1404,命运,destiny
1405,醫生,Doctor
1406,查,check
1407,罗马,Rome
1408,發生,happen
1409,同志,Comrade
1410,臭,Smelly
1411,必須,Must
1412,照,According to
1413,服务,Serve
1414,糟,Bad
1415,尊重,respect
1416,关闭,closure
1417,準備,Prepare
1418,期待,expect
1419,号码,Number
1420,资料,material
1421,机器,machine
1422,读,read
1423,盯,stare
1424,关,close
1425,办,manage
1426,天使,Angel
1427,去过,Been
1428,难过,sad
1429,快點,Hurry up
1430,记忆,memory
1431,女士们,Ladies
1432,過來,Come here
1433,线索,clue
1434,正好,Just right
1435,秒,Second
1436,表示,express
1437,脑袋,Brain
1438,爷爷,grandfather
1439,探员,Agent
1440,移动,move
1441,错过,miss
1442,旁边,beside
1443,留下来,Stay
1444,彼此,each other
1445,社会,society
1446,好事,Good things
1447,跟踪,track
1448,唔,No
1449,尼克,Nick
1450,疼,pain
1451,弧,arc
1452,及,and
1453,不断,Constantly
1454,私人,private
1455,嘴,Mouth
1456,上床,Go to bed
1457,好玩,Fun
1458,神父,Fr.
1459,周围,around
1460,就让,Just let
1461,自从,since
1462,叫做,called
1463,主要,main
1464,这场,This
1465,创造,create
1466,无聊,boring
1467,作品,work
1468,制作,Production
1469,干杯,cheers
1470,保罗,Paul
1471,装,Pack
1472,第二,second
1473,四个,Four
1474,法庭,court
1475,设计,design
1476,干掉,Get rid of
1477,稱,Name
1478,这点,This point
1479,压力,pressure
1480,轻松,easy
1481,哥,elder brother
1482,上车,Get on board
1483,说明,illustrate
1484,谈论,talk
1485,與,and
1486,超级,super
1487,停下来,Stop
1488,抢,Rob
1489,区,district
1490,要么,or
1491,两,two
1492,速度,speed
1493,有钱,rich
1494,确保,make sure
1495,詹姆斯,James
1496,手上,On hand
1497,周末,weekend
1498,没见,Not seen
1499,警长,Sheriff
1500,袭击,Raid
1501,感覺,feel
1502,主,host
1503,刀,knife
1504,咬,bite
1505,上来,Come up
1506,尤其,especially
1507,你家,Your home
1508,船长,captain
1509,浪费,waste
1510,怎麼樣,How
1511,怀孕,Pregnant
1512,婚姻,marriage
1513,副,vice
1514,信号,Signal
1515,天堂,Heaven
1516,恐怖,fear
1517,角色,Role
1518,心脏,heart
1519,恐惧,fear
1520,赚,earn
1521,很难,It's difficult
1522,去世,Death
1523,性感,Sexy
1524,记者,reporter
1525,笵,bamboo mold
1526,離開,Leave
1527,嘘,Shhh
1528,客户,client
1529,由于,because
1530,庆祝,celebrate
1531,嫁给,Marry
1532,总之,In conclusion
1533,惊喜,surprise
1534,土地,land
1535,更加,more
1536,四,Four
1537,出來,Come out
1538,安,install
1539,处,Department
1540,会议,Meeting
1541,女性,female
1542,技术,technology
1543,送到,Deliver to
1544,年轻人,young people
1545,官,official
1546,地址,address
1547,困难,difficulty
1548,惹,provoke
1549,件,Item
1550,在乎,care
1551,和平,Peace
1552,制造,manufacture
1553,离婚,divorce
1554,認為,think
1555,那好,That's good
1556,似的,Similar
1557,非常感谢,Thank you so much
1558,同学,classmate
1559,请求,ask
1560,看不到,Can't see
1561,常,often
1562,动作,action
1563,不停,Non-stop
1564,今年,This year
1565,歌,Song
1566,演出,show
1567,参与,participate
1568,艾,Ai
1569,逃跑,Escape
1570,一点点,A little bit
1571,香港,Hongkong
1572,汽车,car
1573,杀手,Killer
1574,提到,Mentioned
1575,兴奋,excited
1576,丹尼,Danny
1577,剩,Remaining
1578,毒品,poison
1579,史,history
1580,踢,Kick
1581,分手,separate
1582,问问,Ask
1583,做爱,Make love
1584,马克,mark
1585,一群,group
1586,好处,benefit
1587,宝宝,Baby
1588,森林,forest
1589,赢得,win
1590,生存,Survive
1591,厕所,bathroom
