中文,English
太好了,Very good
身上,On
或许,perhaps
讲,speak
你們,you
岁,age
有个,There is
保证,ensure
外面,Outside
丈夫,husband
连,even
国家,nation
整个,entire
特别,special
那种,That
不同,different
著,write
很快,soon
变成,become
够,enough
难道,Could it be
学校,School
一件,One piece
样子,Appearance
倒,fall
电影,Movie
谈谈,Talk
危险,Danger
开心,happy
别的,Other
这件,This
才能,Talent
闭嘴,Shut up
正,just
进行,conduct
照片,photo
話,talk
刚刚,just
而已,That's it
完成,Finish
誰,who
方式,Way
做到,Do it
爸,dad
因為,Because
声音,sound
第一次,first
看来,It seems
只能,Only
現在,now
太太,Mrs
下去,Go down
绝对,absolute
处理,deal with
欢迎,welcome
眼睛,Eye
通过,pass
行动,action
啥,What
感到,feel
最近,recent
聽,hear
各位,Everyone
这边,This side
待,treat
掉,Lose
不好意思,Excuse me
猜,Guess
使,make
作为,As
于,At
狗,dog
容易,easy
沒有,no
直到,until
求,beg
比赛,Contest
像是,Like
麽,What
從,from
拉,pull
拍,shoot
更好,better
曾,ever
有趣,interesting
就算,Even if
活着,Alive
不會,will not
努力,effort
帮忙,help
留下,Leave
同意,agree
参加,join
赢,win
死亡,die
每,Every
上面,above
结果,result
消息,information
要求,Require
理解,understand
曾经,once
打开,Open
收到,receive
照顾,take care of
人类,Human
主意,idea
保持,Keep
成,become
杰克,Jack
存在,exist
进,Enter
高,high
晚安,Good night
确实,really
全部,all
靠,Depend on
呆,stay
起,rise
謝謝,Thank you
讨厌,Hate
俩,both
硂,南
突然,Sudden
多久,how long
老婆,Wife
不再,no longer
任何人,Anyone
开玩笑,joke
放在,Place
那個,That
进入,Enter
父母,parents
总统,president
伤害,harm
時候,Time
回答,answer
一位,One
三个,Three
所有人,All
老师,teacher
早,morning
除了,Apart from
派,group
咱们,we
自由,free
可爱,cute
日,day
抓住,catch
路,road
谈,talk
简单,Simple
身体,Body
想法,idea
早上,Morning
這麼,So
能够,can
昨晚,last night
哥哥,elder brother
我爱你,I love you
跳,Jump
秘密,secret
休息,rest
战争,war
其中,in
内,Inside
医院,Hospital
每天,every day
之间,between
大概,perhaps
控制,control
刚,Just
小孩,Child
带来,bring
停止,stop
因此,therefore
花,flower
证明,prove
约翰,John
飞机,airplane
替,for
解释,explain
律师,lawyer
终于,finally
耶,yeah
翻译,translate
调查,investigation
告訴,Tell
为何,Why
留在,Stay
糟糕,Oops
任务,Task
武器,arms
家里,Home
头,head
来自,From
后面,later
小子,Kid
来到,come
解决,solve
其他人,Others
家人,family
坐下,sit down
怕,Afraid
直接,direct
办公室,office
停,stop
放弃,give up
鬼,ghost
別,Don't
加油,come on
方法,method
游戏,game
即使,even though
本,Book
年轻,young
大人,grown ups
使用,use
卖,Sell
老板,boss
水,water
想想,Think about it
坐在,Sitting
目标,Target
变得,Become
可怕,horrible
拿到,Get
考虑,consider
个人,personal
开枪,shot
哭,cry
睡觉,sleep
請,please
分钟,minute
想到,think
等待,wait
音乐,music
再说,Besides
聪明,clever
姑娘,girl
地球,Earth
感谢,grateful
命令,Order
阻止,Prevent
一只,One
消失,disappear
喜歡,like
心,Heart
第,No.
冷静,calm
似乎,seem
联系,connect
家庭,family
痛苦,pain
城市,City
力量,strength
对于,for
未来,future
男孩,boy
三,three
博士,PhD
姐姐,elder sister
疯狂,crazy
报告,Report
放下,lay down
昨天,yesterday
那天,That day
還有,and
完美,Perfect
答应,promise
证据,evidence
本来,originally
负责,Responsible
检查,examine
見,see
已經,already
一条,One
厉害,sharp
拥有,have
正常,normal
并且,and
否则,otherwise
該,The
以及,as well as
重新,again
忘记,forget
这位,this
研究,Research
附近,nearby
不然,otherwise
太棒了,marvelous
很棒,great
方正,Founder
字幕,subtitle
脸,Face
者,Those
加入,join in
於,On
唱,Sing
反正,Anyway
不该,Should not
政府,government
快乐,hapiness
身边,Around
遇到,meet
這裡,Here
伟大,great
咖啡,coffee
接,catch
仍然,still
门,Door
开车,drive
代表,represent
陪,accompany
若,like
尸体,Corpse
比较,Compare
一年,One year
紧张,nervous
监狱,prison
位置,Location
随便,casual
偷,steal
安排,arrange
錢,money
表演,Performance
从没,Never
除非,unless
屁股,butt
這些,These
酒,liquor
恩,kindness
老兄,Dude
支持,support
必要,necessary
人生,Life
正确,correct
跟着,Follow
杀死,Kill
交给,Hand over
叔叔,uncle
還是,Still
食物,food
事实,fact
简直,simply
安静,Quiet
离,Leave
一场,One
妹妹,younger sister
斯,S
美丽,beauty
再次,again
案子,case
下面,under
不够,not enough
哈,ha
可怜,Pitiful
教,teach
殺,Kill
首先,first
另外,in addition
提供,supply
记住,remember
听见,hear
信,letter
国王,king
面前,before
几乎,almost
日子,day
那麼,Then
舒服,Comfortable
原来,turn out to be
再也,Never again
操,Hold
纽约,New York
早就,Already
逼,force
有关,related
放开,open
信息,information
星期,Week
不得不,have to
发誓,swear
钥匙,key
错误,mistake
放松,Relax
约会,Dating
船,Boat
打扰,disturb
女,female
手机,cell phone
二,two
很大,Very large
到处,everywhere
攻击,attack
一份,One
第一,First
建议,suggestion
日本,Japan
理由,reason
事实上,In fact
一樣,Same
阿,Ah
跳舞,Dance
生气,angry
久,Long
试试,Try it
信任,trust
此,this
看过,Viewed
差不多,almost
原谅,forgive
神,god
经常,often
的确,indeed
之一,one
幸福,happiness
哎,Why
便,Convenience
马,horse
算,Calculate
吃饭,Have a meal
璶,Jing
正是,Exactly
不必,No need
最大,maximum
幸运,Lucky
丢,leave
我家,My Home
問題,problem
长,long
東西,Things
而是,Rather
住手,stop
动物,animal
弟弟,younger brother
道歉,Apologize
严重,serious
人家,Others
坚持,persist in
想象,Imagine
按,according to
礼物,Gift
每次,every time
将军,General
剩下,remain
有事,Something
老爸,Dad
幫,Help
系统,system
全都,all
组织,organize
我會,I will
敌人,enemy
看上去,Looks
應該,should
老天,God
认真,serious
分,point
书,Book
往,Past
关心,care
坏,bad
骗,cheat
中国,China
生意,Business
上去,Go up
值得,worth
搞定,Done
寻找,Search
派对,Parties
许多,many
学生,student
查理,Charlie
下次,next time
通知,notify
救命,Help
表现,Performance
利用,use
受伤,Injuried
后来,later
早上好,Good morning
精神,Spirit
居然,Surprisingly
受到,Received
大学,University
那时,At that time
既然,now that
几天,A few days
有时,sometimes
米,rice
总,total
一张,One
第一个,The first one
真相,the truth
恨,hatred
卡,Card
不知,Unknown
远,Far
警官,police officer
属于,belong
什,Varied
可不是,No
怪,Strange
一名,One
怀疑,Suspect
笨蛋,Fool
战斗,fighting
承认,admit
馬,Horse
法律,law
别说,Don't say
简体,Simplified
记录,Record
见面,Meet
能力,ability
足够,enough
帶,belt
瞧,Look
同样,same
白痴,idiot
拒绝,reject
影响,Influence
画,painting
其,That
德,Germany
交易,trade
回來,Come back
别动,Don't move
管,Tube
开门,Open the door
意味着,mean
或是,or
美,beautiful
教授,professor
享受,enjoy
時間,time
喝酒,drink wine
好多,many
接下来,Next Steps
開始,Start
腿,leg
走开,Walk Away
合作,cooperate
女朋友,girlfriend
好吃,tasty
事件,event
出发,Set off
酒吧,bar
多么,how
不如,Not as good as
指,refer to
客人,guest
换,Change
梦想,dream
英雄,hero
傻,stupid
血,Blood
扔,Throw
藏,Tibetan
杀人,kill
一会儿,A while
沒事,It's OK
变,Change
约,about
行为,Behavior
头发,hair
适合,Suitable
穦,未分
恭喜,Congratulations
上次,Last time
地狱,hell
不在乎,not give a damn about
生,born
哪个,Which
实在,really
路上,On the road
接近,near
不准,No
银行,bank
碰,bump
介绍,introduce
一旦,once
味道,smell
实际上,Actually
感受,Feeling
身份,identity
意外,Accident
一般,generally
吓,scare
停下,Stop
意义,significance
拜,bye
来看,Come and see
婊子,Bitch
梦,Dream
学习,study
同时,at the same time
不起,No
呼吸,breathe
是从,is from
经历,experience
凶手,murderer
目前,at present
威胁,threaten
没法,No way
有时候,sometimes
英国,U.K.
男,male
什么样,What kind
老大,Boss
受,by
愚蠢,madness
算了,never mind
真实,reality
婚礼,wedding
在家,at home
允许,allow
军队,army
电视,television
一家,A
灵魂,soul
谢,Thanks
如,like
道,road
究竟,after all
戴,Wear
无论,regardless
谋杀,murder
立刻,immediately
特,special
躺,lie
试图,attempt
客气,polite
文件,document
敢,dare
慢慢,Slowly
前面,Front
奶奶,grandmother
黑,black
答案,Answer
棒,Great
新闻,news
多谢,Many thanks
可不,Yes
長,long
欠,owe
一遍,Once
达,DA
权利,right
做出,Make
历史,history
挂,hang
好了吗,Are you ready?
意识,consciousness
追,Chase
下午,afternoon
尝试,try
乔治,George
经过,go through
获得,get
仍,still
饿,Hungry
部分,part
活,live
當然,Of course
队,Team
带走,take away
竟然,it turns out
失败,fail
一生,lifetime
黑暗,dark
中心,center
麦克,Mike
警告,warn
大哥,Big Brother
显然,Apparently
碞,cliff
根据,according to
动,move
不過,However
自杀,suicide
这事,This matter
训练,train
万,Ten thousand
令人,Stunning
难,Disaster
街,street
越,cross
搬,move
好人,Good Guy
少,few
迟到,be late
恐怕,I am afraid
一杯,a cup
病,sick
没用,Useless
讨论,discuss
爆炸,explode
因,because
美好,good
放心,rest assured
长大,grow up
微软,Microsoft
令,make
没人,No one
辛苦,Hard
尽管,although
美元,Dollar
吻,kiss
收拾,tidy
包括,include
弗兰克,Frank
面对,face
跟我来,Follow me
公寓,apartment
雅黑,Yahei
邀请,invite
求求,Please
生日,Birthday
留,Keep
法官,Judge
方向,direction
一块,piece
法国,France
一半,half
借,borrow
确认,confirm
玩笑,joke
躲,hide
金,gold
病人,patient
目的,Purpose
公主,Princess
一会,A while
我刚,I just
最终,final
士兵,Soldier
怎,How
其它,other
反对,be opposed to
傻瓜,fool
晚,Night
拿走,Take Away
那家伙,That guy
对方,other side
警方,police
假,Fake
次,Second-rate
不介意,Don't mind
赶快,hurry up
失望,disappointment
无,none
出生,born
酒店,hotel
德国,Germany
上班,work
覺得,I think
要说,To say
造成,cause
破坏,destroy
到达,arrive
间,between
巴黎,Paris
药,medicine
不见,not see
冷,cold
男朋友,Boy friend
想起,think
老公,husband
教堂,church
起來,Get up
做好,Do it well
盾,shield
就行了,That's it
拯救,save
祝,wish
字,Character
媽媽,mother
一句,One sentence
幹,Do
子弹,bullet
节目,programme
飞,fly
玛丽,Mary
方面,aspect
不敢相信,I can't believe it
安娜,Anna
晚餐,dinner
不让,Do not let
越来越,More and more
巨大,huge
很漂亮,very beautiful
伦敦,London
啤酒,beer
好看,nice
感情,emotion
自然,nature
汤姆,Tom
一把,A handful
一步,step
逮捕,arrest
超过,Exceed
時,Hour
赶紧,Hurry
炸弹,bomb
全,Complete
将会,will
主人,Owner
可惜,pity
算是,Kind of
上校,Colonel
家族,family
猫,cat
哥们,Buddy
恶心,nausea
陛下,His Majesty
从未,Never
球,ball
彼得,Peter
通常,generally
名,name
只会,Only
撒谎,lie
兴趣,interest
旅行,travel
吹,blow
雷,thunder
没想到,Unexpectedly
比如,for example
人民,people
穿着,Wear
干净,clean
不少,Many
回事,What happened
提,carry
滚,roll
克,gram
用来,Used for
队长,team leader
公平,fair
愉快,joy
不幸,Unlucky
选,select
好不好,OK
电脑,computer
火车,train
有意思,interesting
乔,Joe
抱,hug
干得,Well done
说得对,You are right.
爱情,love
还给,Return
加,add
校对,Proofreading
一边,One side
宇宙,universe
请问,Excuse me
一點,A little
死去,Died
心情,Feeling
撞,Collide
明显,obvious
不敢,Don't dare
找个,Find one
现场,on site
一部分,Part
失踪,Missing
未,not yet
毁,destroy
垃圾,Rubbish
十分,very
愛,love
相当,quite
這兒,Here
鱼,fish
接着,then
不可,No
同,same
健康,healthy
提醒,remind
包,Bag
测试,test
随时,at any time
事儿,thing
遗憾,Pity
犯罪,crime
治疗,treat
狗屎,Shit
這種,This
命,life
太阳,sun
你别,You don't
习惯,Habit
大卫,David
怪物,monster
靠近,near
反应,reaction
某个,A
意见,Opinion
蛋糕,cake
时刻,time
于是,then
床上,On the bed
责任,responsibility
充满,full
热,hot
多年,for many years
楷体,Kaiti
亨利,Henry
心里,Heart
说谎,lie
自,since
见鬼,Hell
份,share
干吗,What?
脚,foot
祈祷,pray
疯子,madman
差点,Handicap
我该,I should
好极了,Excellent
说真的,Seriously
活动,Activity
块,piece
对付,Deal with
命运,destiny
醫生,Doctor
查,check
罗马,Rome
發生,happen
同志,Comrade
臭,Smelly
必須,Must
照,According to
服务,Serve
糟,Bad
尊重,respect
关闭,closure
準備,Prepare
期待,expect
号码,Number
资料,material
机器,machine
读,read
盯,stare
关,close
办,manage
天使,Angel
去过,Been
难过,sad
快點,Hurry up
记忆,memory
女士们,Ladies
過來,Come here
线索,clue
正好,Just right
秒,Second
表示,express
脑袋,Brain
爷爷,grandfather
探员,Agent
移动,move
错过,miss
旁边,beside
留下来,Stay
彼此,each other
社会,society
好事,Good things
跟踪,track
唔,No
尼克,Nick
疼,pain
弧,arc
及,and
不断,Constantly
私人,private
嘴,Mouth
上床,Go to bed
好玩,Fun
神父,Fr.
周围,around
就让,Just let
自从,since
叫做,called
主要,main
这场,This
创造,create
无聊,boring
作品,work
制作,Production
干杯,cheers
保罗,Paul
装,Pack
第二,second
四个,Four
法庭,court
设计,design
干掉,Get rid of
稱,Name
这点,This point
压力,pressure
轻松,easy
哥,elder brother
上车,Get on board
说明,illustrate
谈论,talk
與,and
超级,super
停下来,Stop
抢,Rob
区,district
要么,or
两,two
速度,speed
有钱,rich
确保,make sure
詹姆斯,James
手上,On hand
周末,weekend
没见,Not seen
警长,Sheriff
袭击,Raid
感覺,feel
主,host
刀,knife
咬,bite
上来,Come up
尤其,especially
你家,Your home
船长,captain
浪费,waste
怎麼樣,How
怀孕,Pregnant
婚姻,marriage
副,vice
信号,Signal
天堂,Heaven
恐怖,fear
角色,Role
心脏,heart
恐惧,fear
赚,earn
很难,It's difficult
去世,Death
性感,Sexy
记者,reporter
笵,bamboo mold
離開,Leave
嘘,Shhh
客户,client
由于,because
庆祝,celebrate
嫁给,Marry
总之,In conclusion
惊喜,surprise
土地,land
更加,more
四,Four
出來,Come out
安,install
处,Department
会议,Meeting
女性,female
技术,technology
送到,Deliver to
年轻人,young people
官,official
地址,address
困难,difficulty
惹,provoke
件,Item
在乎,care
和平,Peace
制造,manufacture
离婚,divorce
認為,think
那好,That's good
似的,Similar
非常感谢,Thank you so much
同学,classmate
请求,ask
看不到,Can't see
常,often
动作,action
不停,Non-stop
今年,This year
歌,Song
演出,show
参与,participate
艾,Ai
逃跑,Escape
一点点,A little bit
香港,Hongkong
汽车,car
杀手,Killer
提到,Mentioned
兴奋,excited
丹尼,Danny
剩,Remaining
毒品,poison
史,history
踢,Kick
分手,separate
问问,Ask
做爱,Make love
马克,mark
一群,group
好处,benefit
宝宝,Baby
森林,forest
赢得,win
生存,Survive
厕所,bathroom
荣幸,pleasure
报警,Call the police
地上,Above ground
送给,Send to
喝一杯,Have a drink
世上,In the world
想念,miss
这会,This will
大约,About
可恶,hateful
合适,suitable
普通,ordinary
天才,genius
生物,biology
之中,Among
肉,Meat
妓女,prostitute
尽快,ASAP
报纸,newspaper
俱乐部,club
提出,propose
正式,formal
洗,wash
政治,politics
从不,Never
一辈子,lifetime
取消,Cancel
两年,Two years
监视,Monitoring
产生,produce
犹太人,Jewish
玩意,Playthings
班,class
搞砸,Screwed Up
只不过,only
显示,show
价值,value
带到,Bring to
吉姆,Jim
恶魔,demon
一周,One week
状况,situation
那位,That
辦,Office
作,do
建立,Establish
山姆,Sam
高中,high school
娶,Marry
说实话,to be honest
去年,last year
厨房,kitchen
特殊,special
黑人,Black person
邪恶,evil
勇敢,brave
不算,Not counted
石头,Stone
等到,wait until
假装,pretend
运动,sports
介意,mind
转,change
兩個,Two
手下,Subordinates
两天,Two days
摆,put
印度,India
耶稣,Jesus
手指,finger
思考,think
累,tired
沒錯,Yes
机场,Airport
茶,Tea
地点,Place
恢复,recover
夜晚,night
帽子,hat
执行,implement
比尔,Bill
输,lose
时代,era
状态,state
餐厅,Dining room
人会,People will
呵呵,hehe
意大利,Italy
犯,Offender
背叛,betray
魔鬼,devil
情报,intelligence
人员,personnel
专家,expert
那樣,That
了不起,amazing
店,shop
不怕,Not afraid
骄傲,pride
哎呀,oops
差,Difference
唱歌,Sing
学,study
站住,stop
眔,All
之类,and so on
满足,satisfy
所说,Said
吉米,Jimmy
停车,parking
现实,Reality
牺牲,sacrifice
胜利,victory
好消息,The good news
见过,Seen
条,strip
引起,cause
醒来,wake up
猪,pig
一辆,One
下车,get off
不许,Not allowed
颜色,color
有用,it works
暂时,temporary
投票,vote
证人,witness
想像,imagine
鸟,bird
全世界,worldwide
買,Buy
迈克,Mike
拍摄,Filming
冒险,adventure
部队,force
王子,prince
发展,develop
顺利,smoothly
甜心,sweetheart
谈话,conversation
開,open
不去,No
吸血鬼,vampire
筁,Bamboo
张,open
吸引,attract
还会,Will also
字幕组,Subtitle Group
动手,Hands-on
老实,honest
比利,Billy
它会,It will
一段,One section
激动,Excited
条件,condition
白,white
特工,Agent
爬,climb
光,Light
五,five
早餐,breakfast
追踪,track
發現,discover
废话,nonsense
演员,actor
哼,snort
亲自,personally
一个月,One month
所谓,So-called
听听,Listen
复杂,complex
学会,learn
距离,distance
同性恋,Homosexuality
係,Department
外,outside
发,hair
这份,This
好笑,funny
碰到,bump into
受不了,Can't stand it
醒醒,Wake up
做些,Do something
成员,member
想着,Thinking
绑架,Kidnapping
即将,Coming soon
发射,emission
抽,smoke
威尔,Will
真是太,It's so
痛,pain
魔法,magic
这才,This is
莎拉,Sarah
把手,handle
分享,share
我覺,I think
年前,Years ago
冲,rush
然而,However
感激,gratitude
同事,colleague
收,receive
神秘,mystery
上尉,Captain
面,noodle
搭,take
难以置信,incredible
迈克尔,Michael
哈利,Harry
车里,In the car
傢,Home
桌子,table
禁止,prohibit
一段时间,A period of time
交流,comminicate
带上,Bring
放手,Letting go
临,Pro
英里,mile
几年,several years
安妮,Anne
公园,garden
边,side
别管,Never mind
克里斯,Chris
非,No
早安,Good morning
中间,middle
癸,Gui
整天,All day
我想,I think
巧克力,chocolate
找出,Find out
强大,powerful
受害者,victim
某些,some
后悔,regret
您好,Hello
一分钟,One minute
精彩,Wonderful
有點,A little bit
卡尔,Carl
睡着,sleep
果然,really
人人,Everyone
基地,base
两位,Two
一片,piece
时间轴,Timeline
单独,alone
名单,List
病毒,Virus
过程,process
急,urgent
左右,about
生病,Get ill
种,kind
人物,figure
尿,Urine
戒指,ring
自我,self
立即,immediately
女生,girl
星球,Planet
变化,change
卡车,truck
怎樣,How
空间,space
穿过,Pass through
象,elephant
旅馆,hostel
打死,Beat to death
观众,audience
依然,still
做事,work
三年,Three years
他来,He comes
火,fire
乐队,band
飞行,flight
接到,Receive
两次,twice
导演,director
满意,satisfy
認識,know
导致,lead to
要死,To die
接触,touch
折磨,Torture
骗子,fraud
明星,star
经验,experience
小伙子,Young man
前进,go ahead
西,West
美女,Beauty
一部,One
性,sex
至,to
好运,good luck
尽力,Try your best
密码,password
赌,bet
刺激,Stimulate
以来,since
承诺,promise
艺术,Art
子,son
耍,Play
让开,Get out of the way
烧,burn
明明,Obviously
惊讶,surprise
免费,free
案件,case
女孩子,Girls
天呐,Oh my god
惩罚,punish
释放,release
吵,Quarrel
位,Bit
顺便,By the way
无辜,innocent
老鼠,mouse
采取,take
联络,contact
展示,exhibit
无关,Unrelated
卻,But
箱子,box
挑战,challenge
讲话,Speech
练习,practise
点儿,Point
从来不,Never
楼上,upstairs
擔心,Worry
实现,accomplish
脖子,neck
理论,theory
关键,key
電話,telephone
聚会,reunion
推,push
洛杉矶,Los Angeles
方便,convenient
耳朵,ear
数字,number
世纪,century
奇迹,Miracle
各种,Various
窗户,window
罪犯,criminal
破,break
呼叫,call
气,gas
仅仅,only
手术,Operation
说服,persuade
死定了,It's dead.
清理,Cleaning
宣布,Announce
启动,start up
能量,energy
分开,separate
车子,Car
室,room
加上,Plus
车上,In the car
印象,impression
天空,Sky
天气,weather
小时候,Childhood
游泳,swim
拜拜,Bye-Bye
滚开,Get lost
大部分,most
教练,coach
哟,Yo
我用,I use
集,set
阿姨,Aunt
估计,estimate
科学,science
而言,For
乐意,willing
鼻子,nose
不錯,nice
地区,area
塔,tower
杀害,kill
孤独,Lonely
声,Voice
拿来,Get it
寫,write
喝点,Drink
夏天,summer
十年,ten years
如今,now
某人,Someone
元,Yuan
不像,Not like
欧洲,Europe
船上,On board
肚子,abdomen
大声,Loud
手里,In hand
红色,red
婴儿,baby
旧,old
环境,environment
团队,team
神奇,magic
年纪,age
唉,well
瞧瞧,Look
熊,Bear
年代,Era
上学,go to school
大量,Large
快去,Go
伤心,sad
何时,when
别忘了,Don't forget
紧急,urgent
布,cloth
暴力,Violence
付出,pay
尽量,Try
太多,too much
伤,hurt
互相,each other
繼續,continue
无论如何,anyway
空气,Air
邻居,Neighbor
某种,Some kind of
想过,Thought
他人,others
规则,rule
我妈,My mom
司机,driver
好奇,curious
城,city
打破,break in
信仰,Belief
不可思议,Incredible
付,pay
持续,continued
逃,escape
朝,towards
无所谓,It doesn't matter
协议,protocol
父親,Father
假如,if
阁下,Your Mightiness
愿,willing
打赌,bet
城堡,castle
退后,Back
说不定,maybe
菜,vegetable
彻底,thorough
地图,map
牧师,priest
墨西哥,Mexico
词,word
重复,repeat
犯人,prisoner
我爸,My dad
妓,prostitute
运气,luck
不太,Not quite
华文,Chinese
早晨,morning
幹什麼,What
一对,A pair
小孩子,child
相同,same
裤子,Pants
聊,chat
规矩,rule
到来,arrival
真棒,Awesome
逃走,escape
近,close
程序,program
发出,issue
趴下,Get Down
白人,White
本书,This book
中尉,Lieutenant
不肯,Refusal
街上,On the Street
託,Trust
揍,beat
度,Spend
給我,Give me
伙,partner
打架,fight
这太,This is too
女王,Queen
錯,mistaken
救救,Rescue
三天,Three days
尽,All
午餐,Lunch
则,but
看法,view
喝醉,Getting drunk
一支,One
权力,that power
也好,Good
留言,message
床,bed
脸上,Face
摧毁,destroy
全是,All
故意,deliberately
山,Mountain
罗,Luo
打败,defeat
哪裡,Where
背后,behind
人来,People come
远离,keep away
狼,Wolf
毕竟,after all
警探,Detective
洗澡,bath
黑色,black
痷,eczema
便宜,Cheap
大多数,most
伪,Pseudo
行李,luggage
别碰,Don't touch
毫无,No
